Respondent,Response
13086351383,Don’t know / Unsure
13086338943,Don’t know / Unsure
13086338230,Don’t know / Unsure
13086334386,Don’t know / Unsure
13086327564,Don’t know / Unsure
13086323795,Don’t know / Unsure
13086320834,Don’t know / Unsure
13086319745,Don’t know / Unsure
13086285143,Don’t know / Unsure
13086280419,Don’t know / Unsure
13086249772,Don’t know / Unsure
13086222338,Don’t know / Unsure
13086192586,Don’t know / Unsure
13086190557,Don’t know / Unsure
13086170106,Don’t know / Unsure
13086163678,Don’t know / Unsure
13086147772,Don’t know / Unsure
13086088379,Don’t know / Unsure
13086086021,Don’t know / Unsure
13086061936,Don’t know / Unsure
13086054534,Don’t know / Unsure
13086050873,Don’t know / Unsure
13093210363,"No, I don't have medical debt."
13093210078,"No, I don't have medical debt."
13093209572,"No, I don't have medical debt."
13093207650,"No, I don't have medical debt."
13093207175,"No, I don't have medical debt."
13093204663,"No, I don't have medical debt."
13093199321,"No, I don't have medical debt."
13093198195,"No, I don't have medical debt."
13093196870,"No, I don't have medical debt."
13093196575,"No, I don't have medical debt."
13093194831,"No, I don't have medical debt."
13093193949,"No, I don't have medical debt."
13093192013,"No, I don't have medical debt."
13093184632,"No, I don't have medical debt."
13093178621,"No, I don't have medical debt."
13093171730,"No, I don't have medical debt."
13093170693,"No, I don't have medical debt."
13093158709,"No, I don't have medical debt."
13093155266,"No, I don't have medical debt."
13093154875,"No, I don't have medical debt."
13093147338,"No, I don't have medical debt."
13093144526,"No, I don't have medical debt."
13093140874,"No, I don't have medical debt."
13093134529,"No, I don't have medical debt."
13093132522,"No, I don't have medical debt."
13093129977,"No, I don't have medical debt."
13093128955,"No, I don't have medical debt."
13093126456,"No, I don't have medical debt."
13093126353,"No, I don't have medical debt."
13093124798,"No, I don't have medical debt."
13093124762,"No, I don't have medical debt."
13093121287,"No, I don't have medical debt."
13093117550,"No, I don't have medical debt."
13093117146,"No, I don't have medical debt."
13093116821,"No, I don't have medical debt."
13093115751,"No, I don't have medical debt."
13093110414,"No, I don't have medical debt."
13093109525,"No, I don't have medical debt."
13093109411,"No, I don't have medical debt."
13093104863,"No, I don't have medical debt."
13093102374,"No, I don't have medical debt."
13093094524,"No, I don't have medical debt."
13093091736,"No, I don't have medical debt."
13093085907,"No, I don't have medical debt."
13093080426,"No, I don't have medical debt."
13093076483,"No, I don't have medical debt."
13093076028,"No, I don't have medical debt."
13093075332,"No, I don't have medical debt."
13093070878,"No, I don't have medical debt."
13093067677,"No, I don't have medical debt."
13093066816,"No, I don't have medical debt."
13093063831,"No, I don't have medical debt."
13093059314,"No, I don't have medical debt."
13093058465,"No, I don't have medical debt."
13093049499,"No, I don't have medical debt."
13093046540,"No, I don't have medical debt."
13093046384,"No, I don't have medical debt."
13093042790,"No, I don't have medical debt."
13093040380,"No, I don't have medical debt."
13093039767,"No, I don't have medical debt."
13093036375,"No, I don't have medical debt."
13093034383,"No, I don't have medical debt."
13093031803,"No, I don't have medical debt."
13093013215,"No, I don't have medical debt."
13093005743,"No, I don't have medical debt."
13092995351,"No, I don't have medical debt."
13092991740,"No, I don't have medical debt."
13092975543,"No, I don't have medical debt."
13092973158,"No, I don't have medical debt."
13092972903,"No, I don't have medical debt."
13092967846,"No, I don't have medical debt."
13092967777,"No, I don't have medical debt."
13092966348,"No, I don't have medical debt."
13092960356,"No, I don't have medical debt."
13092938375,"No, I don't have medical debt."
13092935545,"No, I don't have medical debt."
13092929017,"No, I don't have medical debt."
13092915095,"No, I don't have medical debt."
13092910764,"No, I don't have medical debt."
13092894957,"No, I don't have medical debt."
13092828788,"No, I don't have medical debt."
13092824367,"No, I don't have medical debt."
13092781715,"No, I don't have medical debt."
13092778838,"No, I don't have medical debt."
13092775479,"No, I don't have medical debt."
13092770914,"No, I don't have medical debt."
13092758367,"No, I don't have medical debt."
13092745789,"No, I don't have medical debt."
13092742105,"No, I don't have medical debt."
13092733688,"No, I don't have medical debt."
13092717612,"No, I don't have medical debt."
13092717476,"No, I don't have medical debt."
13092709743,"No, I don't have medical debt."
13092705179,"No, I don't have medical debt."
13092697169,"No, I don't have medical debt."
13092687444,"No, I don't have medical debt."
13092682770,"No, I don't have medical debt."
13092678565,"No, I don't have medical debt."
13092674819,"No, I don't have medical debt."
13092665973,"No, I don't have medical debt."
13092646347,"No, I don't have medical debt."
13092637996,"No, I don't have medical debt."
13092625595,"No, I don't have medical debt."
13092620298,"No, I don't have medical debt."
13092607441,"No, I don't have medical debt."
13092600370,"No, I don't have medical debt."
13092598449,"No, I don't have medical debt."
13092594463,"No, I don't have medical debt."
13092591540,"No, I don't have medical debt."
13092590726,"No, I don't have medical debt."
13092583274,"No, I don't have medical debt."
13092579133,"No, I don't have medical debt."
13092577827,"No, I don't have medical debt."
13092574077,"No, I don't have medical debt."
13092567682,"No, I don't have medical debt."
13092566209,"No, I don't have medical debt."
13092564430,"No, I don't have medical debt."
13092560553,"No, I don't have medical debt."
13092555778,"No, I don't have medical debt."
13092551978,"No, I don't have medical debt."
13092547969,"No, I don't have medical debt."
13092545479,"No, I don't have medical debt."
13092541223,"No, I don't have medical debt."
13092539576,"No, I don't have medical debt."
13092538664,"No, I don't have medical debt."
13092534333,"No, I don't have medical debt."
13092530309,"No, I don't have medical debt."
13092526733,"No, I don't have medical debt."
13092523061,"No, I don't have medical debt."
13092522698,"No, I don't have medical debt."
13092521226,"No, I don't have medical debt."
13092516139,"No, I don't have medical debt."
13092512015,"No, I don't have medical debt."
13092507837,"No, I don't have medical debt."
13092507794,"No, I don't have medical debt."
13092507501,"No, I don't have medical debt."
13092502686,"No, I don't have medical debt."
13092496397,"No, I don't have medical debt."
13092493305,"No, I don't have medical debt."
13092491763,"No, I don't have medical debt."
13092491686,"No, I don't have medical debt."
13092487032,"No, I don't have medical debt."
13092479572,"No, I don't have medical debt."
13092475026,"No, I don't have medical debt."
13092470312,"No, I don't have medical debt."
13092458059,"No, I don't have medical debt."
13092454417,"No, I don't have medical debt."
13092449210,"No, I don't have medical debt."
13092441309,"No, I don't have medical debt."
13092435434,"No, I don't have medical debt."
13092430815,"No, I don't have medical debt."
13092426549,"No, I don't have medical debt."
13092421005,"No, I don't have medical debt."
13092404249,"No, I don't have medical debt."
13092395242,"No, I don't have medical debt."
13092394990,"No, I don't have medical debt."
13092394957,"No, I don't have medical debt."
13092394598,"No, I don't have medical debt."
13092393960,"No, I don't have medical debt."
13092385309,"No, I don't have medical debt."
13092372385,"No, I don't have medical debt."
13092362980,"No, I don't have medical debt."
13092359065,"No, I don't have medical debt."
13092354920,"No, I don't have medical debt."
13092353309,"No, I don't have medical debt."
13092345449,"No, I don't have medical debt."
13092339689,"No, I don't have medical debt."
13092338411,"No, I don't have medical debt."
13092337385,"No, I don't have medical debt."
13092336482,"No, I don't have medical debt."
13092335754,"No, I don't have medical debt."
13092335362,"No, I don't have medical debt."
13092335257,"No, I don't have medical debt."
13092334836,"No, I don't have medical debt."
13092334577,"No, I don't have medical debt."
13092333920,"No, I don't have medical debt."
13092332857,"No, I don't have medical debt."
13092332738,"No, I don't have medical debt."
13092332535,"No, I don't have medical debt."
13092332142,"No, I don't have medical debt."
13092331764,"No, I don't have medical debt."
13092331758,"No, I don't have medical debt."
13092331308,"No, I don't have medical debt."
13092330895,"No, I don't have medical debt."
13092330843,"No, I don't have medical debt."
13092330114,"No, I don't have medical debt."
13092329960,"No, I don't have medical debt."
13092329397,"No, I don't have medical debt."
13092329269,"No, I don't have medical debt."
13092329124,"No, I don't have medical debt."
13092328796,"No, I don't have medical debt."
13092328260,"No, I don't have medical debt."
13092327574,"No, I don't have medical debt."
13092326377,"No, I don't have medical debt."
13092326274,"No, I don't have medical debt."
13092325673,"No, I don't have medical debt."
13092325212,"No, I don't have medical debt."
13092324690,"No, I don't have medical debt."
13092324628,"No, I don't have medical debt."
13092324471,"No, I don't have medical debt."
13092324159,"No, I don't have medical debt."
13092323527,"No, I don't have medical debt."
13092322415,"No, I don't have medical debt."
13092322134,"No, I don't have medical debt."
13092322018,"No, I don't have medical debt."
13092318619,"No, I don't have medical debt."
13092314893,"No, I don't have medical debt."
13092314220,"No, I don't have medical debt."
13092313064,"No, I don't have medical debt."
13092311646,"No, I don't have medical debt."
13092311201,"No, I don't have medical debt."
13092311044,"No, I don't have medical debt."
13092310935,"No, I don't have medical debt."
13092309889,"No, I don't have medical debt."
13092308991,"No, I don't have medical debt."
13092308347,"No, I don't have medical debt."
13092308262,"No, I don't have medical debt."
13092308137,"No, I don't have medical debt."
13092307858,"No, I don't have medical debt."
13092307730,"No, I don't have medical debt."
13092307270,"No, I don't have medical debt."
13092306586,"No, I don't have medical debt."
13092306435,"No, I don't have medical debt."
13092305740,"No, I don't have medical debt."
13092304753,"No, I don't have medical debt."
13092304648,"No, I don't have medical debt."
13092303272,"No, I don't have medical debt."
13092302791,"No, I don't have medical debt."
13092302062,"No, I don't have medical debt."
13092301991,"No, I don't have medical debt."
13092301378,"No, I don't have medical debt."
13092301347,"No, I don't have medical debt."
13092300708,"No, I don't have medical debt."
13092300000,"No, I don't have medical debt."
13092296508,"No, I don't have medical debt."
13092296238,"No, I don't have medical debt."
13092296135,"No, I don't have medical debt."
13092295879,"No, I don't have medical debt."
13092295002,"No, I don't have medical debt."
13092294922,"No, I don't have medical debt."
13092294886,"No, I don't have medical debt."
13092294107,"No, I don't have medical debt."
13092293244,"No, I don't have medical debt."
13092292273,"No, I don't have medical debt."
13092291944,"No, I don't have medical debt."
13092291604,"No, I don't have medical debt."
13092290787,"No, I don't have medical debt."
13092290732,"No, I don't have medical debt."
13092290603,"No, I don't have medical debt."
13092290102,"No, I don't have medical debt."
13092289520,"No, I don't have medical debt."
13092288418,"No, I don't have medical debt."
13092285152,"No, I don't have medical debt."
13092285138,"No, I don't have medical debt."
13092284606,"No, I don't have medical debt."
13092283935,"No, I don't have medical debt."
13092283026,"No, I don't have medical debt."
13092282073,"No, I don't have medical debt."
13092278400,"No, I don't have medical debt."
13092277974,"No, I don't have medical debt."
13092276127,"No, I don't have medical debt."
13092275087,"No, I don't have medical debt."
13092274413,"No, I don't have medical debt."
13092273457,"No, I don't have medical debt."
13092271283,"No, I don't have medical debt."
13092270064,"No, I don't have medical debt."
13092269921,"No, I don't have medical debt."
13092269849,"No, I don't have medical debt."
13092269455,"No, I don't have medical debt."
13092269223,"No, I don't have medical debt."
13092269087,"No, I don't have medical debt."
13092269060,"No, I don't have medical debt."
13092268489,"No, I don't have medical debt."
13092267545,"No, I don't have medical debt."
13092267484,"No, I don't have medical debt."
13092266036,"No, I don't have medical debt."
13092264573,"No, I don't have medical debt."
13092263404,"No, I don't have medical debt."
13092263367,"No, I don't have medical debt."
13092262869,"No, I don't have medical debt."
13092262805,"No, I don't have medical debt."
13092262483,"No, I don't have medical debt."
13092261588,"No, I don't have medical debt."
13092261364,"No, I don't have medical debt."
13092260936,"No, I don't have medical debt."
13092259761,"No, I don't have medical debt."
13092258257,"No, I don't have medical debt."
13092258196,"No, I don't have medical debt."
13092255039,"No, I don't have medical debt."
13092252990,"No, I don't have medical debt."
13092250785,"No, I don't have medical debt."
13092249411,"No, I don't have medical debt."
13092248857,"No, I don't have medical debt."
13092248495,"No, I don't have medical debt."
13092247922,"No, I don't have medical debt."
13092247516,"No, I don't have medical debt."
13092246825,"No, I don't have medical debt."
13092246265,"No, I don't have medical debt."
13092244427,"No, I don't have medical debt."
13092243300,"No, I don't have medical debt."
13092242388,"No, I don't have medical debt."
13092242068,"No, I don't have medical debt."
13092241422,"No, I don't have medical debt."
13092241043,"No, I don't have medical debt."
13092240907,"No, I don't have medical debt."
13092238484,"No, I don't have medical debt."
13092237835,"No, I don't have medical debt."
13092237123,"No, I don't have medical debt."
13092236068,"No, I don't have medical debt."
13092235905,"No, I don't have medical debt."
13092235521,"No, I don't have medical debt."
13092234276,"No, I don't have medical debt."
13092233867,"No, I don't have medical debt."
13092233846,"No, I don't have medical debt."
13092233722,"No, I don't have medical debt."
13092232210,"No, I don't have medical debt."
13092231627,"No, I don't have medical debt."
13092231575,"No, I don't have medical debt."
13092230550,"No, I don't have medical debt."
13092229777,"No, I don't have medical debt."
13092229723,"No, I don't have medical debt."
13092229593,"No, I don't have medical debt."
13092229059,"No, I don't have medical debt."
13092227560,"No, I don't have medical debt."
13092227559,"No, I don't have medical debt."
13092227457,"No, I don't have medical debt."
13092227102,"No, I don't have medical debt."
13092227049,"No, I don't have medical debt."
13092227032,"No, I don't have medical debt."
13092226051,"No, I don't have medical debt."
13092225541,"No, I don't have medical debt."
13092224738,"No, I don't have medical debt."
13092223753,"No, I don't have medical debt."
13092223620,"No, I don't have medical debt."
13092222451,"No, I don't have medical debt."
13092222328,"No, I don't have medical debt."
13092222028,"No, I don't have medical debt."
13092221904,"No, I don't have medical debt."
13092221506,"No, I don't have medical debt."
13092221437,"No, I don't have medical debt."
13092221332,"No, I don't have medical debt."
13092221175,"No, I don't have medical debt."
13092221150,"No, I don't have medical debt."
13092220596,"No, I don't have medical debt."
13092220005,"No, I don't have medical debt."
13092219871,"No, I don't have medical debt."
13092219769,"No, I don't have medical debt."
13092219701,"No, I don't have medical debt."
13092219678,"No, I don't have medical debt."
13092219600,"No, I don't have medical debt."
13092219300,"No, I don't have medical debt."
13092219061,"No, I don't have medical debt."
13092218244,"No, I don't have medical debt."
13092216744,"No, I don't have medical debt."
13092216436,"No, I don't have medical debt."
13092215695,"No, I don't have medical debt."
13092215565,"No, I don't have medical debt."
13092214441,"No, I don't have medical debt."
13092214085,"No, I don't have medical debt."
13092213628,"No, I don't have medical debt."
13092213292,"No, I don't have medical debt."
13092213257,"No, I don't have medical debt."
13092212895,"No, I don't have medical debt."
13092212044,"No, I don't have medical debt."
13092211365,"No, I don't have medical debt."
13092211031,"No, I don't have medical debt."
13092210994,"No, I don't have medical debt."
13092210923,"No, I don't have medical debt."
13092210860,"No, I don't have medical debt."
13092209623,"No, I don't have medical debt."
13092209256,"No, I don't have medical debt."
13092208877,"No, I don't have medical debt."
13092208775,"No, I don't have medical debt."
13092208561,"No, I don't have medical debt."
13092208335,"No, I don't have medical debt."
13092208289,"No, I don't have medical debt."
13092208225,"No, I don't have medical debt."
13092207984,"No, I don't have medical debt."
13092207001,"No, I don't have medical debt."
13092206216,"No, I don't have medical debt."
13092206124,"No, I don't have medical debt."
13092205441,"No, I don't have medical debt."
13092205399,"No, I don't have medical debt."
13092205290,"No, I don't have medical debt."
13092205125,"No, I don't have medical debt."
13092204948,"No, I don't have medical debt."
13092204870,"No, I don't have medical debt."
13092204811,"No, I don't have medical debt."
13092203689,"No, I don't have medical debt."
13092203614,"No, I don't have medical debt."
13092203555,"No, I don't have medical debt."
13092203316,"No, I don't have medical debt."
13092201946,"No, I don't have medical debt."
13092201879,"No, I don't have medical debt."
13092201259,"No, I don't have medical debt."
13092201014,"No, I don't have medical debt."
13092200527,"No, I don't have medical debt."
13092200041,"No, I don't have medical debt."
13092199510,"No, I don't have medical debt."
13092199007,"No, I don't have medical debt."
13092198397,"No, I don't have medical debt."
13092197968,"No, I don't have medical debt."
13092197567,"No, I don't have medical debt."
13092196952,"No, I don't have medical debt."
13092196638,"No, I don't have medical debt."
13092196435,"No, I don't have medical debt."
13092195273,"No, I don't have medical debt."
13092194784,"No, I don't have medical debt."
13092194552,"No, I don't have medical debt."
13092194539,"No, I don't have medical debt."
13092194240,"No, I don't have medical debt."
13092193507,"No, I don't have medical debt."
13092192772,"No, I don't have medical debt."
13092192273,"No, I don't have medical debt."
13092192157,"No, I don't have medical debt."
13092191218,"No, I don't have medical debt."
13092191043,"No, I don't have medical debt."
13092190877,"No, I don't have medical debt."
13092190692,"No, I don't have medical debt."
13092189506,"No, I don't have medical debt."
13092188062,"No, I don't have medical debt."
13092185852,"No, I don't have medical debt."
13092185305,"No, I don't have medical debt."
13092184693,"No, I don't have medical debt."
13092183536,"No, I don't have medical debt."
13092182771,"No, I don't have medical debt."
13092182699,"No, I don't have medical debt."
13092181481,"No, I don't have medical debt."
13092181438,"No, I don't have medical debt."
13092180531,"No, I don't have medical debt."
13092180402,"No, I don't have medical debt."
13092180212,"No, I don't have medical debt."
13092179576,"No, I don't have medical debt."
13092178358,"No, I don't have medical debt."
13092176702,"No, I don't have medical debt."
13092175997,"No, I don't have medical debt."
13092175260,"No, I don't have medical debt."
13092174265,"No, I don't have medical debt."
13092173985,"No, I don't have medical debt."
13092172873,"No, I don't have medical debt."
13092172665,"No, I don't have medical debt."
13092172448,"No, I don't have medical debt."
13092169351,"No, I don't have medical debt."
13092168991,"No, I don't have medical debt."
13092167885,"No, I don't have medical debt."
13092167877,"No, I don't have medical debt."
13092167805,"No, I don't have medical debt."
13092166662,"No, I don't have medical debt."
13092166324,"No, I don't have medical debt."
13092165306,"No, I don't have medical debt."
13092165292,"No, I don't have medical debt."
13092164857,"No, I don't have medical debt."
13092164692,"No, I don't have medical debt."
13092164058,"No, I don't have medical debt."
13092162819,"No, I don't have medical debt."
13092161519,"No, I don't have medical debt."
13092161181,"No, I don't have medical debt."
13092160776,"No, I don't have medical debt."
13092160458,"No, I don't have medical debt."
13092160107,"No, I don't have medical debt."
13092159135,"No, I don't have medical debt."
13092158656,"No, I don't have medical debt."
13092156642,"No, I don't have medical debt."
13092156542,"No, I don't have medical debt."
13092156393,"No, I don't have medical debt."
13092156236,"No, I don't have medical debt."
13092155706,"No, I don't have medical debt."
13092155531,"No, I don't have medical debt."
13092154797,"No, I don't have medical debt."
13092154171,"No, I don't have medical debt."
13092153571,"No, I don't have medical debt."
13092153448,"No, I don't have medical debt."
13092153321,"No, I don't have medical debt."
13092153022,"No, I don't have medical debt."
13092152700,"No, I don't have medical debt."
13092152597,"No, I don't have medical debt."
13092152168,"No, I don't have medical debt."
13092151692,"No, I don't have medical debt."
13092151007,"No, I don't have medical debt."
13092150838,"No, I don't have medical debt."
13092150652,"No, I don't have medical debt."
13092147532,"No, I don't have medical debt."
13092146249,"No, I don't have medical debt."
13092142388,"No, I don't have medical debt."
13092139538,"No, I don't have medical debt."
13092138413,"No, I don't have medical debt."
13092135913,"No, I don't have medical debt."
13092135653,"No, I don't have medical debt."
13092133465,"No, I don't have medical debt."
13092133131,"No, I don't have medical debt."
13092126549,"No, I don't have medical debt."
13092126416,"No, I don't have medical debt."
13092124719,"No, I don't have medical debt."
13092124432,"No, I don't have medical debt."
13092121314,"No, I don't have medical debt."
13092117834,"No, I don't have medical debt."
13092116449,"No, I don't have medical debt."
13092115907,"No, I don't have medical debt."
13092115749,"No, I don't have medical debt."
13092114517,"No, I don't have medical debt."
13092110624,"No, I don't have medical debt."
13092110481,"No, I don't have medical debt."
13092110361,"No, I don't have medical debt."
13092106865,"No, I don't have medical debt."
13092104041,"No, I don't have medical debt."
13092103711,"No, I don't have medical debt."
13092103640,"No, I don't have medical debt."
13092102509,"No, I don't have medical debt."
13092091316,"No, I don't have medical debt."
13092089340,"No, I don't have medical debt."
13092088455,"No, I don't have medical debt."
13092087470,"No, I don't have medical debt."
13092086355,"No, I don't have medical debt."
13092083941,"No, I don't have medical debt."
13092079373,"No, I don't have medical debt."
13092077749,"No, I don't have medical debt."
13092077669,"No, I don't have medical debt."
13092074072,"No, I don't have medical debt."
13092073539,"No, I don't have medical debt."
13092071005,"No, I don't have medical debt."
13092070689,"No, I don't have medical debt."
13092070622,"No, I don't have medical debt."
13092070192,"No, I don't have medical debt."
13092062395,"No, I don't have medical debt."
13092062090,"No, I don't have medical debt."
13092061739,"No, I don't have medical debt."
13092055993,"No, I don't have medical debt."
13092055784,"No, I don't have medical debt."
13092052088,"No, I don't have medical debt."
13092051318,"No, I don't have medical debt."
13092050918,"No, I don't have medical debt."
13092050717,"No, I don't have medical debt."
13092050674,"No, I don't have medical debt."
13092050411,"No, I don't have medical debt."
13092050002,"No, I don't have medical debt."
13092049482,"No, I don't have medical debt."
13092048901,"No, I don't have medical debt."
13092047190,"No, I don't have medical debt."
13092047032,"No, I don't have medical debt."
13092046695,"No, I don't have medical debt."
13092046679,"No, I don't have medical debt."
13092046617,"No, I don't have medical debt."
13092045771,"No, I don't have medical debt."
13092045532,"No, I don't have medical debt."
13092045331,"No, I don't have medical debt."
13092045200,"No, I don't have medical debt."
13092044762,"No, I don't have medical debt."
13092044404,"No, I don't have medical debt."
13092043757,"No, I don't have medical debt."
13092043630,"No, I don't have medical debt."
13092042905,"No, I don't have medical debt."
13092042709,"No, I don't have medical debt."
13092042701,"No, I don't have medical debt."
13092042283,"No, I don't have medical debt."
13092041968,"No, I don't have medical debt."
13092041843,"No, I don't have medical debt."
13092041699,"No, I don't have medical debt."
13092041580,"No, I don't have medical debt."
13092040587,"No, I don't have medical debt."
13092040501,"No, I don't have medical debt."
13092040372,"No, I don't have medical debt."
13092040260,"No, I don't have medical debt."
13092039978,"No, I don't have medical debt."
13092038806,"No, I don't have medical debt."
13092038518,"No, I don't have medical debt."
13092038502,"No, I don't have medical debt."
13092038496,"No, I don't have medical debt."
13092038387,"No, I don't have medical debt."
13092038364,"No, I don't have medical debt."
13092038348,"No, I don't have medical debt."
13092038289,"No, I don't have medical debt."
13092038280,"No, I don't have medical debt."
13092037958,"No, I don't have medical debt."
13092037916,"No, I don't have medical debt."
13092037566,"No, I don't have medical debt."
13092037508,"No, I don't have medical debt."
13092037312,"No, I don't have medical debt."
13092037120,"No, I don't have medical debt."
13092037047,"No, I don't have medical debt."
13092036940,"No, I don't have medical debt."
13092036568,"No, I don't have medical debt."
13092036515,"No, I don't have medical debt."
13092035744,"No, I don't have medical debt."
13092035438,"No, I don't have medical debt."
13092035285,"No, I don't have medical debt."
13092034767,"No, I don't have medical debt."
13092034479,"No, I don't have medical debt."
13092034172,"No, I don't have medical debt."
13092033737,"No, I don't have medical debt."
13092033109,"No, I don't have medical debt."
13092032488,"No, I don't have medical debt."
13092032360,"No, I don't have medical debt."
13092032138,"No, I don't have medical debt."
13092032085,"No, I don't have medical debt."
13092031737,"No, I don't have medical debt."
13092031712,"No, I don't have medical debt."
13092031485,"No, I don't have medical debt."
13092030607,"No, I don't have medical debt."
13092030067,"No, I don't have medical debt."
13092028864,"No, I don't have medical debt."
13092028789,"No, I don't have medical debt."
13092028522,"No, I don't have medical debt."
13092027231,"No, I don't have medical debt."
13092026705,"No, I don't have medical debt."
13092026060,"No, I don't have medical debt."
13092022874,"No, I don't have medical debt."
13092021846,"No, I don't have medical debt."
13092016669,"No, I don't have medical debt."
13092014745,"No, I don't have medical debt."
13092012580,"No, I don't have medical debt."
13092006567,"No, I don't have medical debt."
