age,m_death_probability,m_num_lives,m_life_expectancy,f_death_probability,f_num_lives,f_life_expectancy
63,0.014126,82376.00,19.54,0.00852,89369.00,22.32
64,0.015006,81212.00,18.81,0.009031,88607.00,21.51
65,0.016001,79994.00,18.09,0.009617,87807.00,20.7
66,0.017124,78714.00,17.37,0.010328,86963.00,19.89
67,0.018298,77366.00,16.67,0.011167,86065.00,19.1
68,0.019519,75950.00,15.97,0.012158,85103.00,18.31
69,0.020847,74468.00,15.28,0.013312,84069.00,17.52
70,0.022381,72915.00,14.59,0.014673,82950.00,16.75
71,0.024185,71283.00,13.91,0.016221,81733.00,16
72,0.026266,69559.00,13.25,0.017905,80407.00,15.25
73,0.02866,67732.00,12.59,0.019714,78967.00,14.52
74,0.031401,65791.00,11.95,0.021714,77410.00,13.8
75,0.034618,63725.00,11.32,0.02408,75729.00,13.1
76,0.038263,61519.00,10.71,0.026831,73906.00,12.41
77,0.04219,59165.00,10.11,0.029855,71923.00,11.74
78,0.046367,56669.00,9.54,0.033151,69776.00,11.08
79,0.050948,54041.00,8.97,0.036829,67463.00,10.45
80,0.056237,51288.00,8.43,0.041122,64978.00,9.83
81,0.06236,48404.00,7.9,0.046102,62306.00,9.23
82,0.069226,45385.00,7.39,0.051683,59434.00,8.65
83,0.076884,42243.00,6.91,0.057896,56362.00,8.09
84,0.085452,38996.00,6.44,0.064863,53099.00,7.56
85,0.095062,35663.00,6,0.072731,49655.00,7.05
86,0.105829,32273.00,5.57,0.081626,46043.00,6.56
87,0.117838,28858.00,5.17,0.091644,42285.00,6.1
88,0.131138,25457.00,4.8,0.10284,38410.00,5.67
89,0.145751,22119.00,4.45,0.115236,34460.00,5.26
90,0.161678,18895.00,4.12,0.128837,30489.00,4.88
91,0.178905,15840.00,3.82,0.143633,26561.00,4.52
92,0.197408,13006.00,3.54,0.159606,22746.00,4.2
93,0.217149,10439.00,3.29,0.176731,19115.00,3.9
94,0.23808,8172.00,3.06,0.194973,15737.00,3.63
95,0.258821,6226.00,2.86,0.213413,12669.00,3.39
96,0.278966,4615.00,2.69,0.231752,9965.00,3.17
97,0.298092,3327.00,2.54,0.249663,7656.00,2.98
98,0.315762,2336.00,2.4,0.266801,5744.00,2.81
99,0.33155,1598.00,2.28,0.282809,4212.00,2.65
100,0.348128,1068.00,2.16,0.299778,3021.00,2.49
